INV_DT,INV_NO,INV_NO_KEY,QTY,GROSS,UNITPRICE,NET_TOT_TAX,ADJ_AMT,CUST_DISC_AMT,PRODUCT_DISC_AMT,NET,CUST_NAME,CUST_STARTDT,CUSTOMER_ID,SECTOR,CATEGORY,SUBCATEGPRY,DISTRIBUTOR_ID,SKUID,DIST_NAME,COUNTRY_ID
2023-05-15,18BBCAE5,INV-12A24872,28,0.3776,0.013485714,10,0,4,1,0.32096,,,CUST10000,BCC,LOTIONS,Pampers,DT3501,M4N5O6,Global Enterprises,
2023-03-18,BBCB1B28,INV-F0B6E70D,34,8.249996,0.242646941,10,0,4,1,7.0124966,,,CUST10028,BCC,WIPES,Huggies,DT3501,GZ0G57,Global Enterprises,
2023-01-31,0DCAEC32,INV-51C34DF1,13,0.2806,0.021584615,10,0,4,1,0.23851,,,CUST10074,FEM,SANITARY,Always,DT3501,V4W5X,Global Enterprises,
2023-11-10,CFFA0311,INV-89C180C1,19,0.562,0.029578947,10,0,4,1,0.4777,Norman and Collins Carr,29-07-2021,CUST10099,FEM,SANITARY,Always,DT3501,V4W5X,Global Enterprises,US
2023-05-31,EF28F369,INV-16F9A8DF,30,0.6904,0.023013333,10,0,4,1,0.58684,Patterson and Strickland Downs,21-03-2021,CUST10092,BCC,LOTIONS,Pampers,DT3501,M4N5O6,Global Enterprises,US
2023-09-09,A2089FCA,INV-60D57CB7,59,2.019,0.034220339,10,0,4,1,1.71615,,,CUST10002,BCC,TOILETRIES,Pampers,DT3501,P7Q8R9,Global Enterprises,
2023-07-06,9AD1F9B2,INV-62BD6B83,2,0.9504,0.4752,10,0,4,1,0.80784,,,CUST10003,FAMILY,FACIAL TISSUES,Wipes,DT5678,J0DZIZ,Quality Goods Inc,
2023-09-14,FD3657FF,INV-F31078DD,6,0.066,0.011,10,0,4,1,0.0561,,,CUST10074,BCC,WIPES,Huggies,DT5678,GZ0G57,Quality Goods Inc,
2023-10-06,D43544AF,INV-FBCAF788,93,42.416196,0.456088129,10,0,4,1,36.0537666,,,CUST10016,FEM,LINERS,Kotex,DT5678,X9YQ3T,Quality Goods Inc,
2023-12-26,4F55EF01,INV-2AC60E26,48,5.204794,0.108433208,10,0,4,1,4.4240749,,,CUST10090,FAMILY,TISSUE,Kleenex,DT5678,S1T2U3,Quality Goods Inc,
2023-12-05,446C8748,INV-ACD6CE1C,7,0.136,0.019428571,10,0,4,1,0.1156,Taylor Smith,05-10-2022,CUST10004,FEM,SANITARY,Always,DT5678,V4W5X,Quality Goods Inc,UK
2023-04-23,92B2BFFD,INV-D9A7C3A8,6,0.1062,0.0177,10,0,4,1,0.09027,Taylor Smith,05-10-2022,CUST10004,FEM,SANITARY,Always,DT5678,V4W5X,Quality Goods Inc,UK
2023-09-12,CF46A865,INV-8AA2C108,14,0.1876,0.0134,10,0,4,1,0.15946,Taylor Smith,05-10-2022,CUST10004,FEM,SANITARY,Always,DT5678,V4W5X,Quality Goods Inc,UK
2023-01-21,CC5C0A1E,INV-579C5535,101,29.8664,0.295706931,10,0,4,1,25.38644,Joyce and Rodriguez Houston,18-03-2022,CUST10005,FAMILY,FACIAL TISSUES,Wipes,DT5678,J0DZIZ,Quality Goods Inc,UK
2023-05-16,78C9E368,INV-F90DD27B,34,2.062796,0.060670471,10,0,4,1,1.7533766,,,CUST10015,FAMILY,TISSUE,Kleenex,DT5678,S1T2U3,Quality Goods Inc,
2023-05-08,FD92FE76,INV-747C4252,68,20.7676,0.305405882,10,0,4,1,17.65246,Joyce and Rodriguez Houston,18-03-2022,CUST10005,FAMILY,FACIAL TISSUES,Wipes,DT5678,J0DZIZ,Quality Goods Inc,UK
2023-01-17,ECF429C0,INV-CF5E38F3,24,2.58279,0.10761625,10,0,4,1,2.1953715,,,CUST10007,FAMILY,TISSUE,Kleenex,DT7890,S1T2U3,Sunrise Logistics,
2023-10-06,0691EEAB,INV-74415ED0,93,42.416196,0.456088129,10,0,4,1,36.0537666,,,CUST10007,FEM,LINERS,Kotex,DT7890,X9YQ3T,Sunrise Logistics,
2023-12-12,7CAFECD6,INV-86430992,22,4.4912,0.204145455,10,0,4,1,3.81752,,,CUST10007,BCC,DIAPERS,Huggies,DT7890,8H9FPQ,Sunrise Logistics,
2023-02-10,235EC838,INV-771D56CD,60,20.8578,0.34763,10,0,4,1,17.72913,,,CUST10007,FAMILY,FACIAL TISSUES,Wipes,DT7890,J0DZIZ,Sunrise Logistics,
2023-11-30,52846124,INV-FB1CEDD8,8,0.14,0.0175,10,0,4,1,0.119,,,CUST10008,FEM,SANITARY,Always,DT7890,V4W5X,Sunrise Logistics,
2023-08-17,947D4303,INV-E7F0696D,120,42.685199,0.355709992,10,0,4,1,36.28241915,,,CUST10008,FEM,LINERS,Kotex,DT7890,X9YQ3T,Sunrise Logistics,
2023-03-14,4BEA2721,INV-C08D22DD,86,33.490399,0.389423244,10,0,4,1,28.46683915,,,CUST10010,FEM,LINERS,Kotex,DT4500,X9YQ3T,Prestige Supplies,
2023-01-30,0BD45BB9,INV-68495FBA,54,10.6023,0.196338889,10,0,4,1,9.011955,,,CUST10011,BCC,DIAPERS,Huggies,DT4500,8H9FPQ,Prestige Supplies,
2023-10-11,AAE5C3F2,INV-F897ACA5,33,5.4665,0.165651515,10,0,4,1,4.646525,,,CUST10011,BCC,DIAPERS,Huggies,DT4500,8H9FPQ,Prestige Supplies,
2023-11-21,7DBDD10E,INV-FEB6D517,25,2.7125,0.1085,10,0,4,1,2.305625,,,CUST10011,BCC,DIAPERS,Huggies,DT4500,8H9FPQ,Prestige Supplies,
2023-04-16,7A78A0A4,INV-F119514F,51,1.303194,0.025552824,10,0,4,1,1.1077149,,,CUST10011,BCC,LOTIONS,Pampers,DT4500,M4N5O6,Prestige Supplies,
2023-04-21,BAB9290D,INV-7F5A5B9E,29,0.526799,0.018165483,10,0,4,1,0.44777915,,,CUST10011,BCC,LOTIONS,Pampers,DT4500,M4N5O6,Prestige Supplies,
2023-06-12,4A313175,INV-B687F540,26,0.7256,0.027907692,10,0,4,1,0.61676,,,CUST10011,BCC,LOTIONS,Pampers,DT4500,M4N5O6,Prestige Supplies,
2023-08-10,91CE7B98,INV-9C5D0F07,48,13.229799,0.275620813,10,0,4,1,11.24532915,,,CUST10011,FAMILY,FACIAL TISSUES,Wipes,DT4500,J0DZIZ,Prestige Supplies,
2023-08-07,3F39B919,INV-3582942E,31,8.016,0.258580645,10,0,4,1,6.8136,,,CUST10011,BCC,DIAPERS,Huggies,DT4500,8H9FPQ,Prestige Supplies,
2023-12-02,674E0312,INV-D33C059D,62,2.26,0.036451613,10,0,4,1,1.921,,,CUST10012,FEM,SANITARY,Always,DT9012,V4W5X,Premium Products Co,
2023-12-29,E7FDFDFA,INV-F530110C,39,2.035597,0.052194795,10,0,4,1,1.73025745,,,CUST10013,FAMILY,TISSUE,Kleenex,DT9012,S1T2U3,Premium Products Co,
2023-03-02,168537EC,INV-72EA0251,76,26.768999,0.352223671,10,0,4,1,22.75364915,,,CUST10013,FEM,LINERS,Kotex,DT9012,X9YQ3T,Premium Products Co,
2023-12-20,51EE0B5D,INV-398ED0D4,27,2.9838,0.110511111,10,0,4,1,2.53623,,,CUST10014,BCC,DIAPERS,Huggies,DT9012,8H9FPQ,Premium Products Co,
2023-07-11,FF260DB1,INV-A580BD6F,151,53.371995,0.353456921,10,0,4,1,45.36619575,,,CUST10014,FEM,LINERS,Kotex,DT9012,X9YQ3T,Premium Products Co,
2023-09-03,5CD3EEB0,INV-9FADDA79,66,1.7288,0.026193939,10,0,4,1,1.46948,,,CUST10014,BCC,TOILETRIES,Pampers,DT9012,P7Q8R9,Premium Products Co,
2023-01-29,0BAE709B,INV-71E1FDB9,39,7.689399,0.197164077,10,0,4,1,6.53598915,,,CUST10016,BCC,WIPES,Huggies,DT3501,GZ0G57,Global Enterprises,
2023-02-10,2CD2F92B,INV-2A477392,40,3.0778,0.076945,10,0,4,1,2.61613,,,CUST10016,BCC,TOILETRIES,Pampers,DT3501,P7Q8R9,Global Enterprises,
2023-02-13,9D2CE031,INV-7C2C9010,26,3.796798,0.146030692,10,0,4,1,3.2272783,,,CUST10016,BCC,WIPES,Huggies,DT3501,GZ0G57,Global Enterprises,
2023-05-28,30222BE0,INV-45DCD8C8,45,5.018198,0.111515511,10,0,4,1,4.2654683,,,CUST10016,BCC,WIPES,Huggies,DT3501,GZ0G57,Global Enterprises,
2023-07-04,F67FE9EC,INV-91858458,37,2.7632,0.074681081,10,0,4,1,2.34872,,,CUST10016,BCC,TOILETRIES,Pampers,DT3501,P7Q8R9,Global Enterprises,
2023-08-10,1AF8F41C,INV-23E80D97,157,63.775198,0.406211452,10,0,4,1,54.2089183,Khan and Young Berry,27-09-2022,CUST10017,FEM,LINERS,Kotex,DT3501,X9YQ3T,Global Enterprises,US
2023-03-15,2206169,INV-C5CDA3B0,82,0.3936,0.0048,10,0,4,1,0.33456,,,CUST10018,FEM,LINERS,Kotex,DT5678,X9YQ3T,Quality Goods Inc,
2023-02-28,2D95F7FA,INV-6DD531B0,40,4.818598,0.12046495,10,0,4,1,4.0958083,,,CUST10019,BCC,WIPES,Huggies,DT5678,GZ0G57,Quality Goods Inc,
2023-03-19,27FF3209,INV-B19668D3,44,7.545397,0.171486295,10,0,4,1,6.41358745,,,CUST10019,BCC,WIPES,Huggies,DT5678,GZ0G57,Quality Goods Inc,
2023-01-17,223AF3B5,INV-705108C1,40,0.606,0.01515,10,0,4,1,0.5151,,,CUST10020,BCC,LOTIONS,Pampers,DT5678,M4N5O6,Quality Goods Inc,
2023-10-25,10ACAD6D,INV-3606BA19,23,2.462,0.107043478,10,0,4,1,2.0927,,,CUST10020,BCC,DIAPERS,Huggies,DT5678,8H9FPQ,Quality Goods Inc,
2023-12-12,E9822BCE,INV-31E2CB54,20,3.3683,0.168415,10,0,4,1,2.863055,,,CUST10020,BCC,DIAPERS,Huggies,DT5678,8H9FPQ,Quality Goods Inc,
2023-04-02,B32B711B,INV-01BE86DA,63,8.9856,0.142628571,10,0,4,1,7.63776,,,CUST10020,BCC,WIPES,Huggies,DT5678,GZ0G57,Quality Goods Inc,
2023-04-24,376D82B2,INV-77858F38,22,0.549599,0.024981773,10,0,4,1,0.46715915,,,CUST10020,BCC,LOTIONS,Pampers,DT5678,M4N5O6,Quality Goods Inc,
2023-06-27,8D449460,INV-D4DA3D92,43,6.8414,0.159102326,10,0,4,1,5.81519,,,CUST10020,BCC,DIAPERS,Huggies,DT5678,8H9FPQ,Quality Goods Inc,
2023-07-16,F02BB77C,INV-B31ED6FA,47,6.110994,0.130021149,10,0,4,1,5.1943449,,,CUST10020,BCC,WIPES,Huggies,DT5678,GZ0G57,Quality Goods Inc,
2023-08-13,0F470806,INV-C321204F,60,14.7753,0.246255,10,0,4,1,12.559005,,,CUST10020,BCC,DIAPERS,Huggies,DT5678,8H9FPQ,Quality Goods Inc,
2023-08-07,F4DD947E,INV-36736B45,31,8.016,0.258580645,10,0,4,1,6.8136,,,CUST10020,BCC,DIAPERS,Huggies,DT5678,8H9FPQ,Quality Goods Inc,
2023-05-26,8D0DF58C,INV-528CC439,42,0.5104,0.012152381,10,0,4,1,0.43384,,,CUST10021,BCC,LOTIONS,Pampers,DT7890,M4N5O6,Sunrise Logistics,
2023-02-22,1EFCD1EF,INV-EA302E85,21,1.604394,0.076399714,10,0,4,1,1.3637349,,,CUST10022,FAMILY,TISSUE,Kleenex,DT7890,S1T2U3,Sunrise Logistics,
2023-05-02,3A553D60,INV-B1FE6F3B,33,4.151191,0.125793667,10,0,4,1,3.52851235,,,CUST10023,FAMILY,TISSUE,Kleenex,DT7890,S1T2U3,Sunrise Logistics,
2023-05-04,91249688,INV-80AE1BD5,34,4.5314,0.133276471,10,0,4,1,3.85169,,,CUST10023,BCC,DIAPERS,Huggies,DT7890,8H9FPQ,Sunrise Logistics,
2023-07-02,28DBF942,INV-1483A050,45,11.8417,0.263148889,10,0,4,1,10.065445,,,CUST10023,BCC,DIAPERS,Huggies,DT7890,8H9FPQ,Sunrise Logistics,
2023-09-15,D67D8E19,INV-2AF807DD,41,4.062798,0.099092634,10,0,4,1,3.4533783,,,CUST10023,BCC,WIPES,Huggies,DT7890,GZ0G57,Sunrise Logistics,
2023-12-04,E9B39CF8,INV-1ABC5C04,446,15.46,0.034663677,10,0,4,1,13.141,,,CUST10024,FEM,SANITARY,Always,DT4500,V4W5X,Prestige Supplies,
2023-08-08,FE43D2C0,INV-436F79C7,2,0.016,0.008,10,0,4,1,0.0136,,,CUST10024,BCC,DIAPERS,Huggies,DT4500,8H9FPQ,Prestige Supplies,
2023-10-19,49A85C07,INV-2960E29A,78,32.893599,0.421712808,10,0,4,1,27.95955915,,,CUST10025,FEM,LINERS,Kotex,DT4500,X9YQ3T,Prestige Supplies,
2023-03-07,B39C6243,INV-910A6B30,36,6.030599,0.167516639,10,0,4,1,5.12600915,,,CUST10025,BCC,WIPES,Huggies,DT4500,GZ0G57,Prestige Supplies,
2023-12-06,6A3E9C1A,INV-063F9D65,24,4.9878,0.207825,10,0,4,1,4.23963,Barber and Watkins Cook,19-06-2022,CUST10026,BCC,DIAPERS,Huggies,DT4500,8H9FPQ,Prestige Supplies,AU
2023-02-13,66FD2D06,INV-5C9E0D7B,33,8.6811,0.263063636,10,0,4,1,7.378935,Barber and Watkins Cook,19-06-2022,CUST10026,BCC,DIAPERS,Huggies,DT4500,8H9FPQ,Prestige Supplies,AU
2023-07-12,A5AA1ABB,INV-B35ABEAB,31,4.269996,0.137741806,10,0,4,1,3.6294966,Barber and Watkins Cook,19-06-2022,CUST10026,BCC,WIPES,Huggies,DT4500,GZ0G57,Prestige Supplies,AU
2023-12-19,C3C0EA95,INV-3BFCBB05,34,7.256798,0.213435235,10,0,4,1,6.1682783,Thompson Inc,20-05-2022,CUST10028,FAMILY,TISSUE,Kleenex,DT9012,S1T2U3,Premium Products Co,FR
2023-03-25,CC75B903,INV-C22CF4AE,44,3.716,0.084454545,10,0,4,1,3.1586,Thompson Inc,20-05-2022,CUST10028,BCC,TOILETRIES,Pampers,DT9012,P7Q8R9,Premium Products Co,FR
2023-04-10,FA217B7B,INV-9FF26599,47,6.9384,0.147625532,10,0,4,1,5.89764,Thompson Inc,20-05-2022,CUST10028,BCC,TOILETRIES,Pampers,DT9012,P7Q8R9,Premium Products Co,FR
2023-04-13,9AFDD116,INV-47939114,7,0.1526,0.0218,10,0,4,1,0.12971,Thompson Inc,20-05-2022,CUST10028,FEM,SANITARY,Always,DT9012,V4W5X,Premium Products Co,FR
2023-04-16,0D37A1C5,INV-6F368CBA,37,2.866795,0.077480946,10,0,4,1,2.43677575,Thompson Inc,20-05-2022,CUST10028,FAMILY,TISSUE,Kleenex,DT9012,S1T2U3,Premium Products Co,FR
2023-04-25,85C49350,INV-534B8B23,8,0.2176,0.0272,10,0,4,1,0.18496,Thompson Inc,20-05-2022,CUST10028,FEM,SANITARY,Always,DT9012,V4W5X,Premium Products Co,FR
2023-07-27,3F707BBF,INV-E98AE567,53,4.7628,0.089864151,10,0,4,1,4.04838,Thompson Inc,20-05-2022,CUST10028,BCC,TOILETRIES,Pampers,DT9012,P7Q8R9,Premium Products Co,FR
2023-09-09,659E5D7D,INV-12066B68,14,0.2668,0.019057143,10,0,4,1,0.22678,Thompson Inc,20-05-2022,CUST10028,FEM,SANITARY,Always,DT9012,V4W5X,Premium Products Co,FR
2023-01-20,2A1E1026,INV-C9035495,37,0.652398,0.017632378,10,0,4,1,0.5545383,,,CUST10029,BCC,LOTIONS,Pampers,DT9012,M4N5O6,Premium Products Co,
2023-04-10,C83CB7BF,INV-55DF6C37,47,6.077997,0.129319085,10,0,4,1,5.16629745,,,CUST10029,BCC,WIPES,Huggies,DT9012,GZ0G57,Premium Products Co,
2023-04-14,1A217E51,INV-8F587619,33,4.020199,0.121824212,10,0,4,1,3.41716915,,,CUST10029,BCC,WIPES,Huggies,DT9012,GZ0G57,Premium Products Co,
2023-04-09,1DFDA0FE,INV-D42D619C,56,14.0248,0.250442857,10,0,4,1,11.92108,,,CUST10029,BCC,DIAPERS,Huggies,DT9012,8H9FPQ,Premium Products Co,
2023-05-13,222F9529,INV-33936051,46,1.743198,0.037895609,10,0,4,1,1.4817183,,,CUST10029,BCC,LOTIONS,Pampers,DT9012,M4N5O6,Premium Products Co,
2023-06-05,6A1EC6A2,INV-E9BEBA15,27,0.548399,0.020311074,10,0,4,1,0.46613915,,,CUST10029,BCC,LOTIONS,Pampers,DT9012,M4N5O6,Premium Products Co,
2023-07-29,3B38AA83,INV-E37623C2,39,6.568,0.168410256,10,0,4,1,5.5828,,,CUST10029,BCC,DIAPERS,Huggies,DT9012,8H9FPQ,Premium Products Co,
2023-07-31,09E60181,INV-2DDF52AF,40,12.4749,0.3118725,10,0,4,1,10.603665,,,CUST10029,BCC,DIAPERS,Huggies,DT9012,8H9FPQ,Premium Products Co,
2023-08-18,397E42C3,INV-85411B10,43,4.693199,0.109144163,10,0,4,1,3.98921915,,,CUST10029,BCC,WIPES,Huggies,DT9012,GZ0G57,Premium Products Co,
2023-10-26,281F9472,INV-4A1B8D9B,66,28.902998,0.437924212,10,0,4,1,24.5675483,,,CUST10031,FEM,LINERS,Kotex,DT3501,X9YQ3T,Global Enterprises,
2023-02-01,5F0130B4,INV-169393B9,38,0.958397,0.025220974,10,0,4,1,0.81463745,,,CUST10031,BCC,LOTIONS,Pampers,DT3501,M4N5O6,Global Enterprises,
